circuit,pre_id,pre_name,pre_side,pre_segment,post_id,post_name,post_side,post_segment,contact_number,contact_fraction,synaptic_area
broad-PN,7941642,broad D2 left,l,,7851153,82a PN left,l,,2,0.045454545454545456,9877.10113465803
broad-PN,7941642,broad D2 left,l,,7852250,45a PN left,l,,9,0.06569343065693431,102215.83086221504
broad-PN,7941652,broad D1 left,l,,7851153,82a PN left,l,,1,0.022727272727272728,13076.039674640491
broad-PN,7941652,broad D1 left,l,,7852250,45a PN left,l,,7,0.051094890510948905,82331.76028639809
broad-PN,8198416,broad D1 right,r,,8245146,82a PN right,r,,4,0.05194805194805195,13872.176959897031
broad-PN,8198416,broad D1 right,r,,8247451,45a PN right,r,,12,0.08,148001.96142209257
broad-PN,8198513,broad D2 right,r,,8245146,82a PN right,r,,5,0.06493506493506493,55986.403876585675
broad-PN,8198513,broad D2 right,r,,8247451,45a PN right,r,,11,0.07333333333333333,102450.64485954547
ORN-PN,3716797,45a ORN left,l,,7851153,82a PN left,l,,4,0.09090909090909091,54050.47548038353
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,60,0.43795620437956206,1276327.8594483545
ORN-PN,3774568,82a ORN left,l,,7851153,82a PN left,l,,15,0.3409090909090909,191785.52928984852
ORN-PN,3774568,82a ORN left,l,,7852250,45a PN left,l,,14,0.10218978102189781,288114.55780789896
ORN-PN,3963891,45a ORN right,r,,8245146,82a PN right,r,,4,0.05194805194805195,66556.40779632352
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,80,0.5333333333333333,1308233.6728385584
ORN-PN,3980315,82a ORN right,r,,8245146,82a PN right,r,,24,0.3116883116883117,382032.01422502054
ORN-PN,3980315,82a ORN right,r,,8247451,45a PN right,r,,4,0.02666666666666667,54212.131167876425
LN-Basin,11995,Ladder-a a1,,a1,3034133,A09b a1l Basin-1,l,a1,6,0.016216216216216217,124712.31577402935
LN-Basin,11995,Ladder-a a1,,a1,3041612,A09a a1l Basin-2,l,a1,2,0.006557377049180328,28607.800071528924
LN-Basin,11995,Ladder-a a1,,a1,3074106,A09a a1r Basin-2,r,a1,3,0.008746355685131196,112084.16411374066
LN-Basin,11995,Ladder-a a1,,a1,3282869,A09b a1r Basin-1,r,a1,4,0.00997506234413965,54749.85655044469
